"customer_id","name","customer_category"
1,"Aarav","Gold"
2,"Arjun","Gold"
3,"Manav","Gold"
4,"Aditya","Gold"
5,"Kunal","Gold"
6,"Sara","Gold"
7,"Lavanya","Gold"
8,"Riya","Gold"
9,"Raj","Gold"
10,"Shaurya","Gold"
11,"Shreya","Gold"
12,"Sneha","Bronze"
13,"Kunal","Gold"
14,"Aditi","Silver"
15,"Vivaan","Gold"
16,"Nikhil","Gold"
17,"Ira","Gold"
18,"Anika","Silver"
19,"Siddharth","Gold"
20,"Yash","Gold"
21,"Reyansh","Gold"
22,"Payal","Gold"
23,"Bhavya","Gold"
24,"Amit","Gold"
25,"Saanvi","Gold"
26,"Navya","Gold"
27,"Pari","Gold"
28,"Varun","Gold"
29,"Radhika","Gold"
30,"Meera","Gold"
31,"Saanvi","Gold"
32,"Harsh","Gold"
33,"Shreya","Gold"
34,"Shreya","Gold"
35,"Sneha","Gold"
36,"Siddharth","Gold"
37,"Ananya","Gold"
38,"Dhruv","Gold"
39,"Rohan","Gold"
40,"Bhavya","Gold"
41,"Arjun","Gold"
42,"Yash","Gold"
43,"Vihaan","Gold"
44,"Vivaan","Gold"
45,"Aditya","Gold"
46,"Arjun","Bronze"
47,"Arnav","Gold"
48,"Navya","Gold"
49,"Aniket","Gold"
50,"Pooja","Bronze"
51,"Sai","Gold"
52,"Aanya","Gold"
53,"Manav","Gold"
54,"Aniket","Gold"
55,"Deepak","Gold"
56,"Rohan","Bronze"
57,"Navya","Gold"
58,"Sara","Gold"
59,"Vihaan","Silver"
60,"Meera","Gold"
61,"Anjali","Gold"
62,"Vivaan","Gold"
63,"Sai","Gold"
64,"Pari","Gold"
65,"Pooja","Gold"
66,"Lavanya","Silver"
67,"Harsh","Gold"
68,"Karthik","Gold"
69,"Neha","Silver"
70,"Komal","Gold"
71,"Aanya","Gold"
72,"Myra","Gold"
73,"Pari","Silver"
74,"Vivaan","Gold"
75,"Varun","Gold"
76,"Manav","Gold"
77,"Vivaan","Gold"
78,"Aditya","Gold"
79,"Shaurya","Gold"
80,"Manav","Gold"
81,"Atharv","Gold"
82,"Payal","Gold"
83,"Sara","Gold"
84,"Siddharth","Gold"
85,"Payal","Gold"
86,"Shreya","Gold"
87,"Kunal","Gold"
88,"Pari","Gold"
89,"Ishaan","Gold"
90,"Bhavya","Bronze"
91,"Shreya","Gold"
92,"Payal","Gold"
93,"Ananya","Gold"
94,"Arnav","Bronze"
95,"Aniket","Gold"
96,"Priya","Silver"
97,"Aditya","Gold"
98,"Aarav","Gold"
99,"Anika","Gold"
100,"Sneha","Gold"
101,"Deepak","Gold"
102,"Rahul","Gold"
103,"Atharv","Gold"
104,"Meera","Gold"
105,"Siddharth","Gold"
106,"Ishaan","Gold"
107,"Karthik","Gold"
108,"Deepak","Gold"
109,"Varun","Gold"
110,"Arnav","Gold"
111,"Shaurya","Gold"
112,"Muhammad","Gold"
113,"Bhavya","Gold"
114,"Siddharth","Gold"
115,"Ira","Gold"
117,"Aanya","Gold"
118,"Manav","Gold"
119,"Yash","Silver"
120,"Kavya","Gold"
121,"Shaurya","Gold"
122,"Diya","Gold"
123,"Ishaan","Gold"
124,"Shreya","Gold"
125,"Varun","Gold"
126,"Swara","Gold"
127,"Tanya","Gold"
128,"Muhammad","Silver"
129,"Swara","Gold"
130,"Ishita","Gold"
131,"Myra","Gold"
132,"Pooja","Gold"
